1.2195085927631637, 8.441334002877632e-38
1.2427066052992457, 6.504106014639262e-38
1.2561208848863852, 5.008166336438411e-38
1.2801088450259737, 3.8273732967549257e-38
1.3057941523419867, 2.9384659079115007e-38
1.3213362449807307, 2.3523498332580523e-38
1.3500162856997209, 1.8674581491653075e-38
1.3787145138262553, 1.459668301345485e-38
1.4049410092894414, 1.1535364828854406e-38
1.431666396334157, 9.159759752123673e-39
1.4621003172270413, 7.318719443008044e-39
1.4938356887440254, 5.7161170680060204e-39
1.5346060702289348, 4.408782809550543e-39
1.5738047834330149, 3.473750466577894e-39
1.6754385241658554, 2.0685673809172766e-39
1.7149580411316394, 1.695390516567516e-39
1.7968155703244737, 1.2976022877763913e-39
1.8712296723883493, 1.0402493679906636e-39
1.9649075943568004, 8.60956290762458e-40
2.082708613704769, 7.2086946484269175e-40
2.225838497970635, 5.834887631909341e-40
2.3666737348143836, 4.7546022432481356e-40
2.524151219184508, 3.890116906288524e-40
2.9438626427388543, 2.8728230579293905e-40
3.1096212117582107, 2.278755674710251e-40
3.3267234964361414, 1.9038673389956672e-40
3.5589830619539855, 1.5420666092351263e-40
3.8074581337597238, 1.2422016116575657e-40
4.073280818699356, 1.0052227040449858e-40
4.357662263143654, 8.322210913021259e-41
4.661898171236257, 6.908820265164454e-41
4.987374708405552, 5.900010630985343e-41
5.335574817037933, 5.351236395477723e-41
5.708084973088105, 4.880147787203884e-41
6.106602414410967, 4.4619151681312545e-41
6.53294287374903, 4.1259421388383706e-41
6.989048851608436, 3.95997024039622e-41
7.476998466716679, 3.804144106008068e-41
7.999014924386694, 3.6544497813771336e-41
8.557476645927157, 3.529917303511479e-41
9.154928105250834, 3.4346070505275665e-41
9.764093207477028, 3.3269629332937617e-41
